#        ID              RA           DEC         m_i    reff_arcsec    type
 NGFS033356-350949     53.484699    -35.163646   22.03        1.531   dwarf_non_nucleated
 NGFS034015-361608     55.060488    -36.269022   21.73        1.623   dwarf_non_nucleated
 NGFS033917-354645     54.822072    -35.779284   22.20        1.623   dwarf_non_nucleated
 NGFS033552-345517     53.966222    -34.921440   21.92        1.633   dwarf_non_nucleated
 NGFS033624-353122     54.098615    -35.522680   22.55        1.641   dwarf_non_nucleated
 NGFS033612-350333     54.048388    -35.059246   21.39        1.644   dwarf_non_nucleated
 NGFS033715-344205     54.312749    -34.701412   21.22        1.654   dwarf_non_nucleated
 NGFS034007-343554     55.028801    -34.598362   20.94        1.654   dwarf_non_nucleated
 NGFS033633-360804     54.135644    -36.134365   21.65        1.667   dwarf_non_nucleated
 NGFS034117-353854     55.322093    -35.648292   22.96        1.681   dwarf_non_nucleated
 NGFS033654-355541     54.225296    -35.928023   21.83        1.723   dwarf_non_nucleated
 NGFS033823-354537     54.595511    -35.760315   23.06        1.736   dwarf_non_nucleated
 NGFS033342-351001     53.426508    -35.167066   22.02        1.767   dwarf_non_nucleated
 NGFS033652-360840     54.217835    -36.144507   22.90        1.804   dwarf_non_nucleated
 NGFS033625-344447     54.104510    -34.746349   21.97        1.836   dwarf_non_nucleated
 NGFS033644-360343     54.182443    -36.062021   22.93        1.846   dwarf_non_nucleated
 NGFS033624-355242     54.099567    -35.878437   20.60        1.915   dwarf_non_nucleated
 NGFS033609-353903     54.039279    -35.650919   21.05        1.920   dwarf_non_nucleated
 NGFS033347-350407     53.446502    -35.068547   21.22        1.970   dwarf_non_nucleated
 NGFS033412-354401     53.550338    -35.733657   21.79        1.996   dwarf_non_nucleated
 NGFS033737-344430     54.403584    -34.741585   19.98        2.015   dwarf_non_nucleated
 NGFS033538-350539     53.908864    -35.094240   21.99        2.067   dwarf_non_nucleated
 NGFS033650-345655     54.208147    -34.948504   18.48        2.078   dwarf_non_nucleated
 NGFS033428-354837     53.618306    -35.810364   20.28        2.204   dwarf_non_nucleated
 NGFS033456-352741     53.732771    -35.461505   22.45        2.217   dwarf_non_nucleated
 NGFS033646-355527     54.191307    -35.924264   21.86        2.230   dwarf_non_nucleated
 NGFS034057-344248     55.236268    -34.713218   21.35        2.259   dwarf_non_nucleated
 NGFS034058-361959     55.242253    -36.332917   22.61        2.272   dwarf_non_nucleated
 NGFS034004-350422     55.018715    -35.072696   21.19        2.278   dwarf_non_nucleated
 NGFS033627-353821     54.110988    -35.639164   22.16        2.343   dwarf_non_nucleated
 NGFS033331-352654     53.380874    -35.448333   22.74        2.427   dwarf_non_nucleated
 NGFS034157-355322     55.485605    -35.889438   21.79        2.435   dwarf_non_nucleated
 NGFS033457-351224     53.738396    -35.206796   18.71        2.441   dwarf_non_nucleated
 NGFS033847-345913     54.695702    -34.986876   21.69        2.459   dwarf_non_nucleated
 NGFS033655-355640     54.229109    -35.944392   21.66        2.472   dwarf_non_nucleated
 NGFS034019-343233     55.078331    -34.542452   20.31        2.527   dwarf_non_nucleated
 NGFS033316-353551     53.316580    -35.597473   21.00        2.554   dwarf_non_nucleated
 NGFS033720-353118     54.332849    -35.521601   20.63        2.596   dwarf_non_nucleated
 NGFS033859-354428     54.745801    -35.741138   20.24        2.641   dwarf_non_nucleated
 NGFS034239-354551     55.661102    -35.764146   22.35        2.646   dwarf_non_nucleated
 NGFS033916-350021     54.816614    -35.005877   21.53        2.722   dwarf_non_nucleated
 NGFS034106-353623     55.276093    -35.606365   22.55        2.733   dwarf_non_nucleated
 NGFS033852-361804     54.716789    -36.301054   20.69        2.759   dwarf_non_nucleated
 NGFS033922-353524     54.843638    -35.590022   19.33        2.762   dwarf_non_nucleated
 NGFS033831-344629     54.631123    -34.774638   20.97        2.764   dwarf_non_nucleated
 NGFS034127-345500     55.362062    -34.916582   21.80        2.825   dwarf_non_nucleated
 NGFS033602-351839     54.007345    -35.310717   20.97        2.875   dwarf_non_nucleated
 NGFS034044-353222     55.181661    -35.539524   22.15        2.956   dwarf_non_nucleated
 NGFS034050-352318     55.206793    -35.388438   21.81        2.998   dwarf_non_nucleated
 NGFS033807-353531     54.527900    -35.592000   22.41        2.998   dwarf_non_nucleated
 NGFS034126-352247     55.359895    -35.379584   21.02        3.038   dwarf_non_nucleated
 NGFS033716-354701     54.315665    -35.783657   22.03        3.074   dwarf_non_nucleated
 NGFS033425-355805     53.602888    -35.968020   20.94        3.082   dwarf_non_nucleated
 NGFS033603-362116     54.010699    -36.354512   21.52        3.096   dwarf_non_nucleated
 NGFS034153-345251     55.472189    -34.880948   18.76        3.096   dwarf_non_nucleated
 NGFS033457-354115     53.735651    -35.687366   21.53        3.135   dwarf_non_nucleated
 NGFS033750-353302     54.457799    -35.550438   21.76        3.232   dwarf_non_nucleated
 NGFS033612-354447     54.050916    -35.746384   21.36        3.382   dwarf_non_nucleated
 NGFS033808-360030     54.535271    -36.008354   21.24        3.387   dwarf_non_nucleated
 NGFS033333-354216     53.387633    -35.704436   20.47        3.419   dwarf_non_nucleated
 NGFS034028-344710     55.118089    -34.786073   21.62        3.430   dwarf_non_nucleated
 NGFS033744-354214     54.435199    -35.703984   20.38        3.456   dwarf_non_nucleated
 NGFS033429-345640     53.618841    -34.944465   22.63        3.477   dwarf_non_nucleated
 NGFS034045-353007     55.188900    -35.502000   21.68        3.485   dwarf_non_nucleated
 NGFS034112-360409     55.299609    -36.069294   21.10        3.553   dwarf_non_nucleated
